,en,es,de,pl
KEY_GAME_OPTIONS,Game options,Opciones de juego,Spieleinstellungen,Opcje gry
KEY_EXIT,Exit game,Salir del juego,Spiel verlassen,Wyjdź z gry
KEY_MAGIC_FOREST,Magic Forest,Bosque mágico,Zauberwald,Zaczarowany las
KEY_RESUME,Resume game,Reanudar juego,Spiel fortsetzen,Wznów grę
KEY_PROJECT_WEBSITE,Project Website,Sitio web del proyecto,Projektwebsite,Strona projektu
KEY_EXIT_GAME_CONFIRMATION,Do You really want to exit the game?,¿De verdad quieres salir del juego?,Willst du das Spiel wirklich beenden?,Czy naprawdę chcesz wyjść z gry?
KEY_EXIT_HOUSE_CONFIRMATION,Do You really want to exit this house?,¿De verdad quieres salir de esta casa?,Willst du dieses Haus wirklich verlassen?,Czy naprawdę chcesz wyjść z tego domu?
KEY_ENTER_HOUSE_CONFIRMATION,Do You really want to enter this house?,¿De verdad quieres entrar en esta casa?,Wollen Sie dieses Haus wirklich betreten?,Czy naprawdę chcesz wejść do tego domu?
KEY_PAUSE_MENU,Pause Menu,Pausar menú,Menü anhalten,Menu Pauzy
KEY_OPTIONS_GENERAL,GENERAL,General,ALLGEMEINES,OGÓLNE
KEY_OPTIONS_STEERING,STEERING,Direccion,STEUERUNG,STEROWANIE
KEY_OPTIONS_FULLSCREEN_MODE,Fullscreen mode,Modo de pantalla completa,Vollbildmodus,Tryb pełnoekranowy
KEY_OPTIONS_C-RESOLUTION,Custom resolution,Resolución personaliza,Eigene Auflösung,Własna rozdzielczość
KEY_OPTIONS_FORCED_FPS,Forced game FPS,Juego forzado FPS,Erzwungene FPS im Spiel,Wymuszony FPS w grze
KEY_OPTIONS_APPLY,APPLY,Aplicar,ANWENDEN,ZASTOSUJ
KEY_OPTIONS_GRAPHICS,GRAPHICS,Gráficos,GRAFIK,GRAFIKA
KEY_OPTIONS_AUDIO,AUDIO,Audio,KLANG,DŹWIĘK
KEY_OPTIONS_MASTER_VOLUME,Master game volume,Volumen maestro del juego,Hauptspielvolumen,Główna głośność gry
KEY_OPTIONS_MUSIC_VOLUME,Music volume,Volumen de la música,Musiklautstärke im Spiel,Głośność muzyki w grze
KEY_OPTIONS_SFX_VOLUME,SFX volume,Volumen SFX,Lautstärke der Effekte im Spiel,Głośność efektów w grze
KEY_OPTIONS_OTHER,OTHER OPTIONS,Otras opcione,ANDERE OPTIONEN,INNE OPCJE
KEY_OPTIONS_DOWNLOAD_ASSETS_AGAIN,Download game assets again,Descargar los recursos del juego nuevamente,Laden Sie die Spielressourcen erneut herunter,Pobierz zasoby gry ponownie
KEY_OPTIONS_GAMEPLAY,GAMEPLAY,Como se Juega,SPIEL,ROZGRYWKA
KEY_OPTIONS_GC,Game clock,Reloj del juego,Spieluhr,Zegar gry
KEY_OPTIONS_GC_REAL,Realistic,Realista,Realistisch,Realistyczny
KEY_OPTIONS_GC_FICTIONAL,Fictional,Novelesco,Fiktiv,Fikcyjny
